,smiles,ki
264,C#CCN1C(=O)C(=O)c2cc(S(=O)(=O)N(C)Cc3cccc(F)c3)ccc21,30380.0
265,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccccc2)CC1,31000.0
266,COc1cccc(-c2ccc([C@H]3C[C@@H]3NCC(=O)N3CCN(C)CC3)cc2)c1,31600.0
267,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(-c3cccc(Cl)c3)cc2)CC1,32800.0
268,COc1cc(C2=NN(C(C)=O)C(c3ccccc3)C2)ccc1O,33500.0
269,CC(C(=O)c1cccn1C)N1CCCCC1,36000.0
270,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(-c3ccccc3)cc2)CC1,36700.0
271,COc1ncccc1-c1ccc([C@H]2C[C@@H]2NCC(=O)N2CCN(C)CC2)cc1,39700.0
272,Cc1cc2cc(NC(=O)c3ccc[n+](C)c3)ccc2[nH]1.[Cl-],39860.0
273,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(-c3ccncc3)cc2)CC1,40000.0
274,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(-c3cccnc3)cc2)CC1,40000.0
275,CC(CN(C)C)NC(=O)CN[C@H]1C[C@@H]1c1ccccc1,40000.0
276,O=C(CN[C@H]1C[C@@H]1c1ccccc1)N[C@H]1CCNC1,40000.0
277,NC1CCC(N[C@H]2C[C@@H]2c2ccccc2)CC1,40000.0
278,CN(C)CCNC(=O)CN[C@H]1CC1c1ccccc1,40000.0
279,COc1cc(F)ccc1-c1ccc([C@H]2C[C@@H]2NCC(=O)N2CCN(C)CC2)cc1,40000.0
280,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(-c3ccccc3C(F)(F)F)cc2)CC1,40000.0
281,O=C(CN[C@H]1C[C@@H]1c1ccccc1)NCC1CCNCC1,40000.0
282,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(-c3cc(F)ccc3C(F)(F)F)cc2)CC1,40000.0
283,N[C@H]1CC[C@H](N[C@@H]2C[C@H]2c2ccccc2)CC1,40000.0
284,CN1CCN(C(=O)CNC2CC2c2ccc(-c3cc(F)ccc3C(F)(F)F)cc2)CC1,40000.0
285,COc1ccc(-c2ccc([C@H]3C[C@@H]3NCC(=O)N3CCN(C)CC3)cc2)cn1,40000.0
286,NC1CCC(N[C@@H]2C[C@H]2c2ccccc2)CC1,40000.0
287,N[C@H]1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccccc2)C1,40000.0
288,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(-c3ccc(F)cc3)cc2)CC1,40400.0
289,COc1cc(C2=NN(C(=O)c3ccccc3)C(c3ccccc3)C2)ccc1O,41050.0
290,O=C(CN[C@H]1CC1c1ccccc1)N1CCOCC1,42000.0
291,Cn1cccc1C(=O)C(N)c1ccccc1,42000.0
292,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(C3CC3)cc2)CC1,42100.0
293,O=C(Oc1ccccc1)N1N=C(c2ccccc2O)CC1c1ccc(Cl)cc1,45000.0
294,Cl.Nc1cccc(CCc2ccccc2)c1,49500.0
295,CC(C)(C)NC(=O)CN[C@H]1CC1c1ccccc1,50000.0
296,O=C(CN[C@H]1C[C@@H]1c1ccccc1)Nc1ccc(F)cc1,50000.0
297,CCN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccccc2)CC1,50000.0
298,C#CCN1C(=O)C(=O)c2cc(S(=O)(=O)N(C)Cc3ccccc3F)ccc21,55180.0
299,Cc1ccc(C2CC(c3ccccc3O)=NN2C(=O)Oc2ccccc2)cc1,56000.0
300,Cl.Nc1ccc(CCc2ccccc2)cc1,58100.0
301,COc1ccccc1NC(=S)N1N=C(c2ccccc2)CC1c1ccccc1O,60000.0
302,Cc1ccc([C@H]2CC(c3cc(Br)ccc3O)=NN2C(=O)c2ccccc2)cc1,60000.0
