,smiles,ki
195,CN1CCN(c2ccc(N3C[C@H](COC(N)=S)OC3=O)cc2F)C=N1,4000.0
196,CC(=O)NC[C@H]1CN(c2ccc(N3C=NN(C)CC3)c(F)c2)C(=O)O1,4000.0
197,COc1cc2c(cc1OC)C(C)=NCC2,4000.0
198,COc1cc(C2=NN(C(=O)c3ccccc3)C(c3ccccc3)C2)ccc1O,4250.0
199,C[C@@H](O)c1ccc(-c2ccc(N3C[C@H](Cn4ccnn4)OC3=O)cc2F)cn1,4300.0
200,O=C(CN[C@H]1C[C@@H]1c1ccc(OCc2ccccc2)cc1)NC1CC1,4470.0
201,Cc1cnnn1C[C@H]1CN(c2ccc(C3=CCS(=O)(=O)CC3)c(F)c2)C(=O)O1,4500.0
202,O=C(c1ccc(-c2ccc(N3C[C@H](Cn4ccnn4)OC3=O)cc2F)cn1)C1CNC1,4500.0
203,COc1ccc(C(=O)N2N=C(c3cc(Cl)ccc3O)C[C@@H]2c2ccc(C)cc2)cc1,4670.0
204,O=C1O[C@@H](Cn2ccnn2)CN1c1ccc(-c2ccc(CO)nc2)c(F)c1,4800.0
205,Cn1c(=O)c2c(nc(OCC3CC=CCC3)n2C)n(C)c1=O,4810.0
206,CN(CCCCCCCCCCCCN=C=S)Cc1ccccc1,4900.0
207,C#CCN(C)[C@@H]1CCc2ccccc21,4900.0
208,COc1cc(C2=NNC(c3ccccc3)C2)ccc1O,5020.0
209,c1ccc(/N=N/c2ccccn2)cc1,5100.0
210,CC(C)CCCCOc1nc2c(c(=O)n(C)c(=O)n2C)n1C,5310.0
211,Cc1cc2cc(NC(=O)c3ccc[n+](C)c3)ccc2[nH]1.[Cl-],5470.0
212,Cn1c(=O)c2c(nc(OCCc3ccccc3)n2C)n(C)c1=O,5570.0
213,O=C1Nc2ccc(/C=C/c3cccc(Cl)c3)cc2C1=O,5600.0
214,Cc1cn(CC(=O)c2ccc(-c3ccc(N4C[C@H](Cn5ccnn5)OC4=O)cc3F)cn2)cn1,5600.0
215,c1ccc(NCc2ccccn2)cc1,5700.0
216,CN(Cc1ccccc1F)S(=O)(=O)c1ccc2c(c1)C(=O)C(=O)N2,5700.0
217,CC(=O)NC[C@H]1CN(c2ccc(C3=CCS(=O)(=O)CC3)c(F)c2)C(=O)O1,5900.0
218,C[C@H](O)c1ccc(-c2ccc(N3C[C@H](Cn4ccnn4)OC3=O)cc2F)cn1,5900.0
219,O=C1Nc2ccccc2C1=O,5940.0
220,COc1cc2c(cc1OC)[C@@H](C)NCC2.Cl,6000.0
221,CC(C)(O)c1ccc(-c2ccc(N3C[C@H](Cn4ccnn4)OC3=O)cc2F)cn1,6000.0
222,COc1cc2c(cc1OC)CC[N+](C)=C2.[I-],6000.0
223,CN(Cc1cccc(F)c1)S(=O)(=O)c1ccc2c(c1)C(=O)C(=O)N2,6000.0
224,COc1ncccc1-c1ccc([C@H]2C[C@@H]2NCC(=O)N2CCN(C)CC2)cc1,6400.0
225,Cn1c(=O)c2c(nc(OCC3CCCCC3)n2C)n(C)c1=O,6450.0
226,CCCOc1ccc(C2CNCCS2)cc1,6620.0
227,Nc1ccc(/C=C/c2ccccc2)cc1,6670.0
228,NC(=O)N1N=C(c2ccccc2)CC1c1ccncc1,7000.0
229,O=C1C=CC(=O)c2ccccc21,7700.0
230,Nc1ccc(Oc2ccc(Cl)cc2)cc1,7720.0
231,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(-c3cccc(C(F)(F)F)c3)cc2)CC1,7900.0
232,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,7900.0
233,Cn1c(=O)c2c(nc(OCC3CCCC3)n2C)n(C)c1=O,7980.0
234,Nc1cccc(/C=C/c2ccccc2)c1,8010.0
235,COc1ccc(-c2ccc([C@H]3C[C@@H]3NCC(=O)N3CCN(C)CC3)cc2)cn1,8100.0
236,C#CCN1C(=O)C(=O)c2ccccc21,8140.0
237,Cc1cc2cc(NC(=O)c3cccc(Cl)c3)ccc2[nH]1,8180.0
238,CN1CCN(C(=O)CN[C@H]2CC2c2ccc(-c3cc(Cl)cc(Cl)c3)cc2)CC1,8600.0
239,C1=CCN(CCc2ccccc2)CC1,9200.0
240,COc1cc(C2=NN(C(=N)N)C(c3ccccc3)C2)ccc1O,9550.0
241,CC(C)CCOc1nc2c(c(=O)n(C)c(=O)n2C)n1C,9570.0
242,CCOc1ccc(C2CNCCS2)cc1,9600.0
243,O=C1C=CC(=O)C=C1,9620.0
244,C#CCN[C@@H]1CCc2ccccc21,9700.0
245,COc1c2c(c(OC)c(OC)c1OC)C(C)=NCC2.Cl,10000.0
246,CCCCOc1ccc(C2CNC(=O)CS2)cc1,10000.0
247,CN1CCN(CCCC(=O)c2ccc(-c3ccc(N4C[C@H](Cn5ccnn5)OC4=O)cc3F)cn2)CC1,10500.0
248,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,10500.0
249,O=Cc1cc(=O)oc2cc(OCc3cccc(Cl)c3)ccc12,11000.0
250,Cc1cn(CC(=O)c2ccc(-c3ccc(N4C[C@H](Cn5ccnn5)OC4=O)cc3F)cn2)c(C)n1,11000.0
251,O=C(CN[C@H]1C[C@@H]1c1ccccc1)N1CCN(Cc2ccccc2)CC1,11000.0
252,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(OCc3ccccc3)cc2)CC1,11000.0
253,CC(C)C(O)c1ccc(-c2ccc(N3C[C@H](Cn4ccnn4)OC3=O)cc2F)cn1,11300.0
254,O=C(Cn1ccnc1)c1ccc(-c2ccc(N3C[C@H](Cn4ccnn4)OC3=O)cc2F)cn1,12000.0
255,NC1CC1c1ccc(NC(=O)C(Cc2ccccc2)NC(=O)COc2ccccc2)cc1,12500.0
256,COc1cc2c(cc1O)C(C)=NCC2,13000.0
257,[C-]#[N+]c1ccc(COc2ccc([C@H]3C[C@@H]3NCC(=O)N3CCN(C)CC3)cc2)cc1,14200.0
258,C[C@H](N)Cc1ccccc1,14400.0
259,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(-c3cc(F)ccc3C(F)(F)F)cc2)CC1,14800.0
260,CN1CCN(C(=O)CNC2CC2c2ccc(-c3cc(F)ccc3C(F)(F)F)cc2)CC1,15000.0
261,O=C(CCCN1CCOCC1)c1ccc(-c2ccc(N3C[C@H](Cn4ccnn4)OC3=O)cc2F)cn1,15000.0
262,CNCc1cc(=O)oc2cc(OCc3cccc(Cl)c3)ccc12,15700.0
263,O=C1O[C@@H](Cn2cc(Br)nn2)CN1c1ccc(C2=CCS(=O)(=O)CC2)c(F)c1,16000.0
264,CC(NC1CC1c1ccccc1)c1ccc2c(c1)OCCO2,16000.0
265,COc1ccc(C2CNCCS2)cc1,16200.0
266,O=C1Nc2cc(Oc3ccccc3)ccc2C1=O,16400.0
267,COc1c(OC)c(OC)c2c(C)nccc2c1OC.Cl,17000.0
268,Nc1cccc(-c2ccccc2)c1,18100.0
269,Cc1cc2cc(NC(=O)C3CCCCC3)ccc2[nH]1,18290.0
270,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(CCc3ccccc3)cc2)CC1,18900.0
271,CN(C(=O)C(Cc1ccccc1)NC(=O)OCc1ccccc1)c1ccc(C2CC2N)cc1,19000.0
272,Cc1cnc(C)n1CC(=O)c1ccc(-c2ccc(N3C[C@H](Cn4ccnn4)OC3=O)cc2F)cn1,19000.0
273,O=C1Nc2cc(OCc3ccccc3)ccc2C1=O,19100.0
274,COc1cc(C2=NN(C(=S)Nc3ccccc3)C(c3ccc(Cl)cc3)C2)ccc1O,19550.0
275,N[C@@H]1CCN(C2CCC(N[C@H]3C[C@@H]3c3ccccc3)CC2)C1,20000.0
276,CC(=O)NC1CCC(N[C@H]2C[C@@H]2c2ccc(-c3cccc(C(F)(F)F)c3)nc2)CC1,20000.0
277,NC(=O)C1CCC(N[C@H]2C[C@@H]2c2ccc(-c3cccc(C(F)(F)F)c3)nc2)CC1,20000.0
278,OC1CCC(N[C@H]2C[C@@H]2c2ccc(-c3cccc(C(F)(F)F)c3)nc2)CC1,20000.0
279,CS(=O)(=O)NC1CCC(N[C@H]2C[C@@H]2c2ccc(-c3cccc(C(F)(F)F)c3)nc2)CC1,20000.0
280,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(OCc3ccc(-c4ccccc4)cc3)cc2)CC1,21400.0
281,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(OCc3cccc(F)c3)cc2)CC1,22100.0
282,Cc1cn(C[C@H]2CN(c3ccc(-c4cc(C)no4)c(F)c3)C(=O)O2)nn1,22600.0
283,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(OCc3cccc(Cl)c3)cc2)CC1,23300.0
284,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(OCc3cccc(Br)c3)cc2)CC1,24000.0
285,Nc1ccc(Oc2ccccc2)cc1,24100.0
286,Cn1c(=O)c2c(nc(OCCCc3ccccc3)n2C)n(C)c1=O,24270.0
287,Cc1cn(C[C@H]2CN(c3ccc(C4=CCS(=O)(=O)CC4)c(F)c3)C(=O)O2)nn1,25000.0
288,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(-c3ccccc3C(F)(F)F)cc2)CC1,25000.0
289,N[C@H]1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccccc2)C1,25500.0
290,COc1cc(F)ccc1-c1ccc([C@H]2C[C@@H]2NCC(=O)N2CCN(C)CC2)cc1,25900.0
291,CC1=CC(=O)c2ccccc2C1=O,26000.0
292,COc1cc(C2=NN(C(=O)c3ccccc3)C(c3ccc(Cl)cc3)C2)ccc1O,26200.0
293,Cn1c(=O)c2c(nc(Oc3ccccc3)n2C)n(C)c1=O,26320.0
294,Br.COc1cc2c(cc1OC)CN(C)CC2,27000.0
295,CN1CCc2ccccc2C1.Cl,27000.0
296,COc1cc2c(cc1OC)CN(C)CC2,27000.0
